Vendor Name,Department,Last 12 Months Cost (USD),1-line Description,Suggestions
Salesforce Uk Ltd-Uk,SaaS,"$3,117,226",Enterprise CRM platform for sales and customer relationship management,Optimize
Navan (Tripactions Inc),SaaS,"$357,984",Corporate travel and expense management platform,Consolidate
Bdo Llp,Professional Services,"$343,081",Global accounting firm providing audit tax and advisory services,Optimize
Tog Uk Properties Limited,Facilities,"$263,821",Premium flexible workspace and serviced office provider,Optimize
Cloudcrossing Bvba,Engineering,"$208,675",Cloud infrastructure and network connectivity services provider,Optimize
Zagrebtower D.O.O.,Facilities,"$183,754",Commercial office building and real estate in Zagreb,Optimize
Innovent Spaces Private Limited,Facilities,"$147,348",IndiQube coworking and managed workspace solutions in India,Consolidate
Weking D.O.O.,Facilities,"$144,093",Office facilities and property management in Croatia,Optimize
Jensten Insurance Brokers,Finance,"$142,700",Commercial insurance brokerage and risk management services,Optimize
Gpt Space & Co,Facilities,"$133,507",Commercial real estate and flexible office space provider,Consolidate
Aetna Life And Casualty Ltd,Finance,"$124,661",Health insurance and employee benefits provider,Optimize
Rsm Uk Corporate Finance Llp,M&A,"$117,078",Corporate finance advisory specializing in M&A transactions,Optimize
Amazon Web Services Llc,Engineering,"$106,399",Cloud computing platform providing infrastructure services,Consolidate
Telefonica Global Services Gmbh,Engineering,"$89,880",Global telecommunications and network services provider,Optimize
Hr Solution International Gmbh,Professional Services,"$80,823",HR consulting and workforce management solutions,Optimize
4I Advisory Services,Professional Services,"$71,860",Financial advisory and business consulting services,Consolidate
Bisley Law Ltd,Legal,"$67,414",Corporate and commercial law firm,Optimize
Infosys,Engineering,"$66,570",Global IT consulting and software development services,Optimize
Big Frontier Pty Ltd (Cult Of Monday),Marketing,"$66,131",Creative marketing agency specializing in brand strategy,Optimize
Harmonic Group Limited,Engineering,"$65,418",Technology consulting and software development services,Optimize
Wework Singapore Pte. Ltd.,Facilities,"$64,373",Global coworking and flexible workspace provider,Consolidate
Cloud Technology Solutions Ltd,Engineering,"$60,661",Google Cloud partner providing cloud consulting services,Consolidate
Navan Inc,SaaS,"$57,929",Corporate travel and expense management platform,Consolidate
Tmforum,Professional Services,"$57,560",Telecommunications industry association and standards body,Optimize
Linkedin Ireland Limited,Marketing,"$55,573",Professional networking platform for recruiting and advertising,Optimize
Kimble Applications Ltd,SaaS,"$52,825",Professional services automation and resource planning software,Optimize
Sage Uk Limited,SaaS,"$46,895",Accounting and business management software provider,Optimize
Grant Thornton,Professional Services,"$46,539",Global accounting and advisory firm,Consolidate
Sveuciliste U Zagrebu Studentski Centar,Facilities,"$44,299",University student center facilities in Zagreb,Optimize
Ss&C Intralinks Inc,SaaS,"$39,966",Virtual data room platform for M&A and secure document sharing,Optimize
Veniture D.O.O.,Engineering,"$39,342",Software development and IT services company in Croatia,Optimize
