Vendor Name	Department	Last 12 Months Cost (USD)	1-line Description	Suggestions
Salesforce Uk Ltd-Uk	Engineering	$3,117,226	Enterprise CRM and sales automation platform	Optimize
Navan (Tripactions Inc)	G&A	$357,984	Corporate travel and expense management platform	Consolidate
Bdo Llp	Finance	$343,081	Professional services firm providing audit and tax advisory	Optimize
Tog Uk Properties Limited	G&A	$263,821	Flexible office and coworking space provider	Optimize
Cloudcrossing Bvba	Engineering	$208,675	Cloud infrastructure and network connectivity services	Optimize
Zagrebtower D.O.O.	G&A	$183,754	Commercial real estate and office space in Zagreb	Optimize
Innovent Spaces Private Limited	G&A	$147,348	Flexible workspace and office solutions provider in India	Consolidate
Weking D.O.O.	G&A	$144,093	Office facilities management and services in Croatia	Optimize
Jensten Insurance Brokers	Finance	$142,700	Commercial insurance brokerage services	Optimize
Gpt Space & Co	G&A	$133,507	Commercial real estate and property management	Consolidate
Aetna Life And Casualty Ltd	People	$124,661	Health insurance and employee benefits provider	Optimize
Rsm Uk Corporate Finance Llp	Finance	$117,078	Corporate finance advisory and M&A services	Optimize
Amazon Web Services Llc	Engineering	$106,399	Cloud computing infrastructure and services	Consolidate
Telefonica Global Services Gmbh	Engineering	$89,880	Telecommunications and network services provider	Optimize
Hr Solution International Gmbh	People	$80,823	HR consulting and workforce management services	Optimize
4I Advisory Services	Finance	$71,860	Financial advisory and consulting services	Consolidate
Bisley Law Ltd	Legal	$67,414	Legal services and corporate law firm	Optimize
Infosys	Engineering	$66,570	IT consulting and software development services	Optimize
Big Frontier Pty Ltd (Cult Of Monday)	Marketing	$66,131	Marketing agency and brand strategy consulting	Optimize
Harmonic Group Limited	Engineering	$65,418	Technology consulting and software development	Optimize
Wework Singapore Pte. Ltd.	G&A	$64,373	Flexible coworking and office space in Singapore	Consolidate
Cloud Technology Solutions Ltd	Engineering	$60,661	Cloud consulting and Google Cloud services partner	Consolidate
Navan Inc	G&A	$57,929	Corporate travel and expense management platform	Consolidate
Tmforum	Engineering	$57,560	Telecommunications industry association and standards body	Optimize
Linkedin Ireland Limited	People	$55,573	Professional networking and recruiting platform	Optimize
Kimble Applications Ltd	Finance	$52,825	Professional services automation and project management	Optimize
Sage Uk Limited	Finance	$46,895	Accounting and financial management software	Optimize
Grant Thornton	Finance	$46,539	Professional services firm providing audit and advisory	Consolidate
Sveuciliste U Zagrebu Studentski Centar	G&A	$44,299	University student services and facilities in Zagreb	Optimize
Ss&C Intralinks Inc	Finance	$39,966	Secure document sharing and virtual data room platform	Optimize
Veniture D.O.O.	Engineering	$39,342	Software development and IT services in Croatia	Optimize
Accutrainee Limited	People	$38,841	Legal trainee placement and recruitment services	Optimize
Mason Frank International Ltd	People	$38,148	Salesforce recruitment and staffing specialist	Optimize
Houlihan Lokey Advisors Llc	Finance	$37,461	Investment banking and financial advisory services	Optimize
Vector Capital Management Lp	Finance	$32,427	Private equity and investment management services	Optimize
Hubspot Ireland Limited	Marketing	$32,187	Marketing automation and CRM platform	Optimize
Nefron - Obrt Za Poslovne Usluge	G&A	$30,614	Business services and facilities management in Croatia	Optimize
Planful Inc.	Finance	$27,741	Financial planning and analysis software platform	Optimize
Cognism Limited	Sales	$27,013	B2B sales intelligence and lead generation platform	Optimize
Uberflip	Marketing	$26,091	Content experience and marketing automation platform	Terminate
Agram Life Osiguranje D.O.O.	People	$24,952	Life insurance provider in Croatia	Optimize
Google Ireland Limited	Marketing	$24,798	Digital advertising and cloud services	Consolidate
Zuric I Partneri Odvjetnicko Drustvo D.O.O.	Legal	$24,135	Law firm providing corporate legal services in Croatia	Optimize
Care Health Insurance Company Limited	People	$24,045	Health insurance provider in India	Optimize
New Star Networks(Nsn)	Engineering	$23,887	Network infrastructure and IT services	Optimize
Bupa- Supplier	People	$22,800	Health insurance and healthcare services provider	Consolidate
Shree Info System Solutions Pvt Ltd	Engineering	$22,275	IT services and software solutions provider in India	Optimize
Technet It Recruitment	People	$21,952	IT recruitment and staffing services	Consolidate
Mightyhive Ltd	Marketing	$19,042	Digital advertising and marketing technology services	Consolidate
Cedar Recruitment Ltd	People	$18,537	Recruitment and staffing agency	Consolidate
Eurofast International Ltd-Greec	Finance	$18,164	Accounting and business advisory services in Greece	Optimize
Hrvatski Telekom D.D.	Engineering	$18,084	Telecommunications provider in Croatia	Consolidate
Sodexo Svc India Private Limited	G&A	$17,810	Food services and facilities management	Optimize
Peakon Aps	People	$17,108	Employee engagement and feedback platform	Optimize
Plus Your Business Ltd	Marketing	$17,074	Digital marketing and SEO services	Terminate
Benefit Systems D.O.O.	People	$16,900	Employee benefits and wellness program provider	Optimize
Smart Group Services D.O.O.	G&A	$16,438	Business services and office support in Croatia	Optimize
Jones Lang Lasalle (Nsw) Pty Ltd	G&A	$16,274	Commercial real estate and property management services	Consolidate
Workato Inc.	Engineering	$16,101	Enterprise automation and integration platform	Optimize
Konzum Plus D.O.O.	G&A	$15,684	Retail grocery and office supplies in Croatia	Optimize
Westbrook Advisers	Finance	$15,360	Financial advisory and consulting services	Consolidate
Work Easy Space Solutions Private Limited	G&A	$14,913	Flexible office and coworking space in India	Consolidate
Taxstudio Ltd.	Finance	$14,642	Tax preparation and accounting services	Optimize
Pingo D.O.O.	G&A	$14,508	Facility services and office management in Croatia	Optimize
Magazin Racunalni Sistemi D.O.O.	Engineering	$13,870	Computer systems and IT equipment provider	Optimize
Tp Prime D.O.O.	G&A	$13,785	Business services and administrative support	Optimize
Granttree Limited	Finance	$13,659	R&D tax credit and grant advisory services	Optimize
Cigna Sg	People	$13,249	Health insurance and employee benefits in Singapore	Consolidate
Collards Chartered Accountants	Finance	$12,879	Accounting and financial advisory services	Consolidate
Bupa Australia	People	$12,463	Health insurance provider in Australia	Consolidate
4I Management Consulting Private Limited	Finance	$12,117	Management consulting and advisory services	Consolidate
Grad Zagreb Gradski Ured Za Prostorno Uredenje	G&A	$11,637	City government and municipal services in Zagreb	Optimize
Bijeli Pijesak Obrt Za Poslovno Savjetovanje	Finance	$11,605	Business consulting services in Croatia	Consolidate
Ramiro D.O.O.	G&A	$11,516	Business services and operations support in Croatia	Optimize
Visalogic Limited	People	$11,241	Immigration and visa services provider	Optimize
Poles Ltd - Hanbury Manor	G&A	$10,488	Conference venue and hospitality services	Optimize
Shoff Darby Companies	G&A	$10,100	Facilities and property management services	Optimize
